,obsday,time_recorded,elrange,azrange
0,20210514,2021-05-14 09:00:00Z,"[None, None]","[None, None]"
1,20210515,2021-05-15 20:15:34Z,"[None, None]","[None, None]"
3,20210515,2021-05-16 03:36:03Z,"[None, None]","[-90.0, 90.0]"
2,20210515,2021-05-16 04:28:50Z,"[None, None]","[None, None]"
4,20210516,2021-05-16 20:17:16Z,"[None, None]","[None, None]"
6,20210516,2021-05-17 03:08:25Z,"[None, None]","[-90.0, 90.0]"
5,20210516,2021-05-17 04:27:18Z,"[None, None]","[None, None]"
7,20210519,2021-05-19 20:18:56Z,"[None, None]","[None, None]"
8,20210519,2021-05-20 04:25:51Z,"[None, None]","[None, None]"
9,20210519,2021-05-20 05:27:49Z,"[None, None]","[-45.0, 135.0]"
10,20210519,2021-05-20 05:52:41Z,"[None, None]","[-45.0, 90.0]"
11,20210519,2021-05-20 05:54:32Z,"[None, None]","[-45.0, 45.0]"
12,20210519,2021-05-20 05:55:42Z,"[None, None]","[-90.0, 90.0]"
13,20210519,2021-05-20 05:56:27Z,"[None, None]","[-45.0, 90.0]"
14,20210521,2021-05-21 20:20:35Z,"[None, None]","[None, None]"
15,20210521,2021-05-22 04:24:31Z,"[None, None]","[None, None]"
16,20210521,2021-05-22 08:16:56Z,"[None, None]","[-90.0, 90.0]"
17,20210521,2021-05-22 11:11:44Z,"[None, None]","[None, None]"
18,20210606,2021-06-06 20:32:02Z,"[None, None]","[None, None]"
20,20210606,2021-06-07 03:58:22Z,"[None, None]","[-67.5, 202.5]"
21,20210606,2021-06-07 04:09:21Z,"[None, None]","[None, None]"
22,20210606,2021-06-07 04:11:00Z,"[None, None]","[-135.0, 135.0]"
19,20210606,2021-06-07 04:17:49Z,"[None, None]","[None, None]"
23,20210607,2021-06-07 20:33:10Z,"[None, None]","[None, None]"
24,20210607,2021-06-08 04:17:30Z,"[None, None]","[None, None]"
25,20210607,2021-06-08 04:26:18Z,"[None, None]","[-135.0, 135.0]"
26,20210609,2021-06-09 20:33:42Z,"[None, None]","[None, None]"
28,20210609,2021-06-10 03:45:41Z,"[None, None]","[-90.0, 180.0]"
27,20210609,2021-06-10 04:17:24Z,"[None, None]","[None, None]"
